"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00024175","SALT LAKE CITY, UT US","1940-03-12","0.00","0.0",,"41","22"
"USW00024175","SALT LAKE CITY, UT US","1940-03-13","0.00","0.0",,"45","27"
"USW00024175","SALT LAKE CITY, UT US","1940-03-14","0.00","0.0",,"58","30"
"USW00024175","SALT LAKE CITY, UT US","1940-03-15","0.00","0.0",,"64","32"
"USW00024175","SALT LAKE CITY, UT US","1940-03-16","0.00","0.0",,"64","44"
"USW00024175","SALT LAKE CITY, UT US","1940-03-17","0.05","0.0",,"53","40"
"USW00024175","SALT LAKE CITY, UT US","1940-03-18","0.00","0.0",,"58","33"
"USW00024175","SALT LAKE CITY, UT US","1940-03-19","0.00","0.0",,"58","32"
"USW00024175","SALT LAKE CITY, UT US","1940-03-20","0.00","0.0",,"62","36"
"USW00024175","SALT LAKE CITY, UT US","1940-03-21","0.00","0.0",,"63","38"
"USW00024175","SALT LAKE CITY, UT US","1940-03-22","0.00","0.0",,"71","40"
"USW00024175","SALT LAKE CITY, UT US","1940-03-23","0.00","0.0",,"70","43"
"USW00024175","SALT LAKE CITY, UT US","1940-03-24","0.00","0.0",,"75","44"
"USW00024175","SALT LAKE CITY, UT US","1940-03-25","0.03","0.0",,"70","48"
"USW00024175","SALT LAKE CITY, UT US","1940-03-26","0.01","0.0",,"64","43"
"USW00024175","SALT LAKE CITY, UT US","1940-03-27","1.16","0.3",,"57","34"
"USW00024175","SALT LAKE CITY, UT US","1940-03-28","0.00","0.0",,"55","37"
"USW00024175","SALT LAKE CITY, UT US","1940-03-29","0.02","0.0",,"56","44"
"USW00024175","SALT LAKE CITY, UT US","1940-03-30","0.00","0.0",,"65","47"
"USW00024175","SALT LAKE CITY, UT US","1940-03-31","0.00","0.0",,"68","51"
"USW00024175","SALT LAKE CITY, UT US","1940-04-01","0.29","0.0",,"61","39"
"USW00024175","SALT LAKE CITY, UT US","1940-04-02","0.61","0.1",,"53","34"
"USW00024175","SALT LAKE CITY, UT US","1940-04-03","0.00","0.0",,"57","39"
"USW00024175","SALT LAKE CITY, UT US","1940-04-04","0.00","0.0",,"61","40"
"USW00024175","SALT LAKE CITY, UT US","1940-04-05","0.09","0.0",,"61","44"
"USW00024175","SALT LAKE CITY, UT US","1940-04-06","0.00","0.0",,"54","38"
"USW00024175","SALT LAKE CITY, UT US","1940-04-07","0.01","0.0",,"59","36"
"USW00024175","SALT LAKE CITY, UT US","1940-04-08","0.04","0.0",,"59","43"
"USW00024175","SALT LAKE CITY, UT US","1940-04-09","0.35","0.0",,"62","42"
"USW00024175","SALT LAKE CITY, UT US","1940-04-10","0.00","0.0",,"55","36"
"USW00024175","SALT LAKE CITY, UT US","1940-04-11","0.00","0.0",,"59","37"
"USW00024175","SALT LAKE CITY, UT US","1940-04-12","0.00","0.0",,"67","39"
"USW00024175","SALT LAKE CITY, UT US","1940-04-13","0.00","0.0",,"74","44"
"USW00024175","SALT LAKE CITY, UT US","1940-04-14","0.01","0.0",,"77","49"
"USW00024175","SALT LAKE CITY, UT US","1940-04-15","0.03","0.0",,"63","44"
"USW00024175","SALT LAKE CITY, UT US","1940-04-16","0.00","0.0",,"59","38"
"USW00024175","SALT LAKE CITY, UT US","1940-04-17","0.00","0.0",,"60","35"
"USW00024175","SALT LAKE CITY, UT US","1940-04-18","0.00","0.0",,"70","42"
"USW00024175","SALT LAKE CITY, UT US","1940-04-19","0.00","0.0",,"79","48"
"USW00024175","SALT LAKE CITY, UT US","1940-04-20","0.00","0.0",,"66","49"
"USW00024175","SALT LAKE CITY, UT US","1940-04-21","0.00","0.0",,"60","40"
"USW00024175","SALT LAKE CITY, UT US","1940-04-22","0.00","0.0",,"67","38"
"USW00024175","SALT LAKE CITY, UT US","1940-04-23","0.23","0.0",,"71","51"
"USW00024175","SALT LAKE CITY, UT US","1940-04-24","0.28","0.0",,"62","49"
"USW00024175","SALT LAKE CITY, UT US","1940-04-25","0.01","0.0",,"71","48"
"USW00024175","SALT LAKE CITY, UT US","1940-04-26","0.00","0.0",,"68","51"
"USW00024175","SALT LAKE CITY, UT US","1940-04-27","0.10","0.0",,"58","44"
"USW00024175","SALT LAKE CITY, UT US","1940-04-28","0.13","0.0",,"59","42"
"USW00024175","SALT LAKE CITY, UT US","1940-04-29","0.25","0.0",,"55","40"
"USW00024175","SALT LAKE CITY, UT US","1940-04-30","0.04","0.0",,"62","38"
"USW00024175","SALT LAKE CITY, UT US","1940-05-01","0.00","0.0",,"75","43"
"USW00024175","SALT LAKE CITY, UT US","1940-05-02","0.00","0.0",,"81","49"
"USW00024175","SALT LAKE CITY, UT US","1940-05-03","0.00","0.0",,"74","57"
"USW00024175","SALT LAKE CITY, UT US","1940-05-04","0.00","0.0",,"82","49"
"USW00024175","SALT LAKE CITY, UT US","1940-05-05","0.00","0.0",,"66","43"
"USW00024175","SALT LAKE CITY, UT US","1940-05-06","0.00","0.0",,"67","45"
"USW00024175","SALT LAKE CITY, UT US","1940-05-07","0.00","0.0",,"71","46"
"USW00024175","SALT LAKE CITY, UT US","1940-05-08","0.00","0.0",,"74","46"
"USW00024175","SALT LAKE CITY, UT US","1940-05-09","0.00","0.0",,"80","49"
"USW00024175","SALT LAKE CITY, UT US","1940-05-10","0.00","0.0",,"87","54"
"USW00024175","SALT LAKE CITY, UT US","1940-05-11","0.00","0.0",,"88","60"
